TRX_ID,TRX_TS,PRODUCT_ID,PRODUCT_NAME,SALES
5874,01/06/19 20.00,266,Latte,35000
5874,01/06/19 20.00,306,Mineral Water,8000
5874,01/06/19 20.00,280,Teh Tubruk,29000
5875,01/06/19 20.32,278,Kopi Tubruk,24000
5875,01/06/19 20.32,411,Latte,28000
5876,01/07/19 12.06,334,Extra Kerupuk Putih,6000
5876,01/07/19 12.06,334,Extra Kerupuk Putih,6000
5876,01/07/19 12.06,292,Teh Tarik,35000
5876,01/07/19 12.06,293,Teh Tarik,39000
5877,01/07/19 12.53,333,Extra Kerupuk Putih,5000
5877,01/07/19 12.53,264,Latte,34000
5877,01/07/19 12.53,285,Mineral Water,26000
5877,01/07/19 12.53,257,Rawon,27000
5877,01/07/19 12.53,214,Roti Bakar,22000
5878,01/07/19 14.45,231,Nasi Goreng Jawa,34000
5878,01/07/19 14.45,246,Soto Ayam,34000
5879,01/07/19 14.45,232,Bakmi Goreng Jawa,38000
5879,01/07/19 14.45,232,Bakmi Goreng Jawa,38000
5879,01/07/19 14.45,285,Mineral Water,26000
5879,01/07/19 14.45,238,Nasi Putih,39000
5879,01/07/19 14.45,230,Soto Ayam,30000
5879,01/07/19 14.45,235,Soto Ayam,35000
5879,01/07/19 14.45,358,Teh Tarik,20000
5879,01/07/19 14.45,281,Teh Tubruk,12000
5879,01/07/19 14.45,281,Teh Tubruk,12000
5880,01/07/19 14.05,278,Kopi Tubruk,24000
5881,01/07/19 15.59,264,Latte,34000
5882,01/07/19 18.41,291,Fresh Orange Juice,37000
5882,01/07/19 18.41,306,Mineral Water,8000
5883,01/07/19 20.08,246,Soto Ayam,34000
5884,01/07/19 21.56,283,Hot/Ice Lemon Tea,26000
5885,01/08/19 10.56,262,Americano,29000
5885,01/08/19 10.56,232,Bakmi Goreng Jawa,38000
5886,01/08/19 11.51,274,Kopi Tubruk,37000
5886,01/08/19 11.51,234,Soto Ayam,48000
5887,01/08/19 13.54,252,French Fries,30000
5887,01/08/19 13.54,270,Kopi Tubruk,28000
5888,01/08/19 13.01,232,Bakmi Goreng Jawa,38000
5888,01/08/19 13.01,232,Bakmi Goreng Jawa,38000
5888,01/08/19 13.01,336,Extra Kerupuk Putih,10000
5888,01/08/19 13.01,334,Extra Kerupuk Putih,6000
5888,01/08/19 13.01,276,Kopi Tubruk,18000
5888,01/08/19 13.01,306,Mineral Water,8000
5888,01/08/19 13.01,342,Nasi Goreng Jawa,32000
5888,01/08/19 13.01,231,Nasi Goreng Jawa,34000
5888,01/08/19 13.01,236,Nasi Putih,7000
5888,01/08/19 13.01,233,Rawon,36000
5888,01/08/19 13.01,235,Soto Ayam,35000
5888,01/08/19 13.01,235,Soto Ayam,35000
5888,01/08/19 13.01,281,Teh Tubruk,12000
5888,01/08/19 13.01,281,Teh Tubruk,12000
5888,01/08/19 13.01,281,Teh Tubruk,12000
5888,01/08/19 13.01,281,Teh Tubruk,12000
5888,01/08/19 13.01,281,Teh Tubruk,12000
5889,01/08/19 14.15,306,Mineral Water,8000
5889,01/08/19 14.15,230,Soto Ayam,30000
5890,01/08/19 15.24,290,Latte,35000
5891,01/08/19 16.32,262,Americano,29000
5892,01/08/19 21.00,283,Hot/Ice Lemon Tea,26000
5893,01/09/19 12.39,357,Pisang Goreng,10000
5893,01/09/19 12.39,234,Soto Ayam,48000
5893,01/09/19 12.39,412,Teh Tubruk,18000
5894,01/09/19 17.18,228,Bakmi Godog Keju,30000
5894,01/09/19 17.18,254,Pisang Goreng,28000
5895,01/09/19 18.19,262,Americano,29000
5895,01/09/19 18.19,263,Cappuccino,34000
5895,01/09/19 18.19,263,Cappuccino,34000
5895,01/09/19 18.19,297,Macchiato,30000
5895,01/09/19 18.19,250,Pisang Goreng,29000
5895,01/09/19 18.19,250,Pisang Goreng,29000
5895,01/09/19 18.19,258,Pisang Goreng,28000
5895,01/09/19 18.19,258,Pisang Goreng,28000
5895,01/09/19 18.19,217,Roti Bakar,22000
5895,01/09/19 18.19,218,Roti Bakar,25000
5895,01/09/19 18.19,396,Pisang Goreng,25000
5895,01/09/19 18.19,358,Teh Tarik,20000
5895,01/09/19 18.19,358,Teh Tarik,20000
5895,01/09/19 18.19,281,Teh Tubruk,12000
5895,01/09/19 18.19,280,Teh Tubruk,29000
5896,01/09/19 18.36,236,Nasi Putih,7000
5896,01/09/19 18.36,236,Nasi Putih,7000
5896,01/09/19 18.36,233,Rawon,36000
5896,01/09/19 18.36,233,Rawon,36000
5896,01/09/19 18.36,280,Teh Tubruk,29000
5896,01/09/19 18.36,280,Teh Tubruk,29000
5897,01/09/19 19.34,336,Extra Kerupuk Putih,10000
